perceived speed,period,treatment,subject,sequence,sequence index,display,speed
4.15,4,8,6,6.76E+15,6,4,2
3.601,5,4,6,6.76E+15,6,2,2
3.919,6,1,6,6.76E+15,6,1,1
2.869,7,3,6,6.76E+15,6,2,1
7.557,8,2,6,6.76E+15,6,1,2
7.227,9,6,6,6.76E+15,6,3,2
3.711,10,7,6,6.76E+15,6,4,1
4.859,11,5,6,6.76E+15,6,3,1
6.861,12,8,6,6.76E+15,6,4,2
6.36,13,4,6,6.76E+15,6,2,2
5.86,14,1,6,6.76E+15,6,1,1
3.919,15,3,6,6.76E+15,6,2,1
13.417,16,2,6,6.76E+15,6,1,2
2.356,1,7,7,7.86E+15,7,4,1
5.115,2,8,7,7.86E+15,7,4,2
7.215,3,6,7,7.86E+15,7,3,2
2.661,4,1,7,7.86E+15,7,1,1
5.323,5,5,7,7.86E+15,7,3,1
6.763,6,2,7,7.86E+15,7,1,2
3.577,7,4,7,7.86E+15,7,2,2
1.184,8,3,7,7.86E+15,7,2,1
5.738,9,7,7,7.86E+15,7,4,1
6.604,10,8,7,7.86E+15,7,4,2
8.106,11,6,7,7.86E+15,7,3,2
5.188,12,1,7,7.86E+15,7,1,1
6.763,13,5,7,7.86E+15,7,3,1
8.497,14,2,7,7.86E+15,7,1,2
7.447,15,4,7,7.86E+15,7,2,2
1.941,16,3,7,7.86E+15,7,2,1
3.577,1,8,8,8.17E+15,8,4,2
4.315,2,1,8,8.17E+15,8,1,1
6.006,3,7,8,8.17E+15,8,4,1
12.269,4,2,8,8.17E+15,8,1,2
10.67,5,6,8,8.17E+15,8,3,2
2.661,6,3,8,8.17E+15,8,2,1
5.909,7,5,8,8.17E+15,8,3,1
3.857,8,4,8,8.17E+15,8,2,2
13.283,9,8,8,8.17E+15,8,4,2
3.674,10,1,8,8.17E+15,8,1,1
2.624,11,7,8,8.17E+15,8,4,1
8.607,12,2,8,8.17E+15,8,1,2
9.168,13,6,8,8.17E+15,8,3,2
1.513,14,3,8,8.17E+15,8,2,1
4.663,15,5,8,8.17E+15,8,3,1
3.821,16,4,8,8.17E+15,8,2,2
2.063,1,1,9,1.28E+15,1,1,1
4.456,2,2,9,1.28E+15,1,1,2
3.845,3,8,9,1.28E+15,1,4,2
1.831,4,3,9,1.28E+15,1,2,1
1.306,5,7,9,1.28E+15,1,4,1
1.477,6,4,9,1.28E+15,1,2,2
3.687,7,6,9,1.28E+15,1,3,2
1.501,8,5,9,1.28E+15,1,3,1
2.099,9,1,9,1.28E+15,1,1,1
5.384,10,2,9,1.28E+15,1,1,2
5.371,11,8,9,1.28E+15,1,4,2
1.294,12,3,9,1.28E+15,1,2,1
2.246,13,7,9,1.28E+15,1,4,1
2.551,14,4,9,1.28E+15,1,2,2
5.347,15,6,9,1.28E+15,1,3,2
2.234,16,5,9,1.28E+15,1,3,1
4.749,1,2,10,2.31E+15,2,1,2
1.416,2,3,10,2.31E+15,2,2,1
2.954,3,1,10,2.31E+15,2,1,1
2.099,4,4,10,2.31E+15,2,2,2
3.149,5,8,10,2.31E+15,2,4,2
2.429,6,5,10,2.31E+15,2,3,1
1.526,7,7,10,2.31E+15,2,4,1
3.418,8,6,10,2.31E+15,2,3,2
3.247,9,2,10,2.31E+15,2,1,2
2.014,10,3,10,2.31E+15,2,2,1
1.916,11,1,10,2.31E+15,2,1,1
2.075,12,4,10,2.31E+15,2,2,2
2.576,13,8,10,2.31E+15,2,4,2
1.867,14,5,10,2.31E+15,2,3,1
1.88,15,7,10,2.31E+15,2,4,1
2.966,16,6,10,2.31E+15,2,3,2
0.634,1,3,11,3.43E+15,3,2,1
5.786,2,4,11,3.43E+15,3,2,2
11.549,3,2,11,3.43E+15,3,1,2
4.761,4,5,11,3.43E+15,3,3,1
4.431,5,1,11,3.43E+15,3,1,1
9.706,6,6,11,3.43E+15,3,3,2
7.288,7,8,11,3.43E+15,3,4,2
3.54,8,7,11,3.43E+15,3,4,1
0.988,9,3,11,3.43E+15,3,2,1
3.284,10,4,11,3.43E+15,3,2,2
6.714,11,2,11,3.43E+15,3,1,2
4.651,12,5,11,3.43E+15,3,3,1
3.845,13,1,11,3.43E+15,3,1,1
12.001,14,6,11,3.43E+15,3,3,2
6.58,15,8,11,3.43E+15,3,4,2
3.967,16,7,11,3.43E+15,3,4,1
3.442,1,4,12,4.54E+15,4,2,2
5.493,2,5,12,4.54E+15,4,3,1
3.369,3,3,12,4.54E+15,4,2,1
7.911,4,6,12,4.54E+15,4,3,2
9.425,5,2,12,4.54E+15,4,1,2
4.248,6,7,12,4.54E+15,4,4,1
4.822,7,1,12,4.54E+15,4,1,1
6.983,8,8,12,4.54E+15,4,4,2
3.54,9,4,12,4.54E+15,4,2,2
5.005,10,5,12,4.54E+15,4,3,1
3.21,11,3,12,4.54E+15,4,2,1
8.863,12,6,12,4.54E+15,4,3,2
5.225,13,2,12,4.54E+15,4,1,2
2.466,14,7,12,4.54E+15,4,4,1
4.785,15,1,12,4.54E+15,4,1,1
6.031,16,8,12,4.54E+15,4,4,2
1.22,1,5,13,5.65E+15,5,3,1
2.209,2,6,13,5.65E+15,5,3,2
1.416,3,4,13,5.65E+15,5,2,2
1.013,4,7,13,5.65E+15,5,4,1
1.269,5,3,13,5.65E+15,5,2,1
2.356,6,8,13,5.65E+15,5,4,2
5.432,7,2,13,5.65E+15,5,1,2
1.66,8,1,13,5.65E+15,5,1,1
1.538,9,5,13,5.65E+15,5,3,1
2.283,10,6,13,5.65E+15,5,3,2
3.564,11,4,13,5.65E+15,5,2,2
1.867,12,7,13,5.65E+15,5,4,1
1.892,13,3,13,5.65E+15,5,2,1
3.809,14,8,13,5.65E+15,5,4,2
4.798,15,2,13,5.65E+15,5,1,2
1.953,16,1,13,5.65E+15,5,1,1
1.404,1,6,14,6.76E+15,6,3,2
2.637,2,7,14,6.76E+15,6,4,1
2.392,3,5,14,6.76E+15,6,3,1
2.661,4,8,14,6.76E+15,6,4,2
1.367,5,4,14,6.76E+15,6,2,2
3.54,6,1,14,6.76E+15,6,1,1
2.356,7,3,14,6.76E+15,6,2,1
5.64,8,2,14,6.76E+15,6,1,2
5.384,9,6,14,6.76E+15,6,3,2
2.466,10,7,14,6.76E+15,6,4,1
2.917,11,5,14,6.76E+15,6,3,1
5.872,12,8,14,6.76E+15,6,4,2
5.213,13,4,14,6.76E+15,6,2,2
3.723,14,1,14,6.76E+15,6,1,1
2.515,15,3,14,6.76E+15,6,2,1
7.007,16,2,14,6.76E+15,6,1,2
0.817,1,7,15,7.86E+15,7,4,1
4.053,2,8,15,7.86E+15,7,4,2
4.004,3,6,15,7.86E+15,7,3,2
2.722,4,1,15,7.86E+15,7,1,1
1.452,5,5,15,7.86E+15,7,3,1
5.909,6,2,15,7.86E+15,7,1,2
3.039,7,4,15,7.86E+15,7,2,2
1.55,8,3,15,7.86E+15,7,2,1
2.673,9,7,15,7.86E+15,7,4,1
4.212,10,8,15,7.86E+15,7,4,2
6.543,11,6,15,7.86E+15,7,3,2
2.246,12,1,15,7.86E+15,7,1,1
1.867,13,5,15,7.86E+15,7,3,1
5.628,14,2,15,7.86E+15,7,1,2
4.016,15,4,15,7.86E+15,7,2,2
2.368,16,3,15,7.86E+15,7,2,1
3.577,1,8,16,8.17E+15,8,4,2
2.527,2,1,16,8.17E+15,8,1,1
1.526,3,7,16,8.17E+15,8,4,1
6.397,4,2,16,8.17E+15,8,1,2
6.397,5,6,16,8.17E+15,8,3,2
2.16,6,3,16,8.17E+15,8,2,1
1.831,7,5,16,8.17E+15,8,3,1
1.867,8,4,16,8.17E+15,8,2,2
3.857,9,8,16,8.17E+15,8,4,2
2.038,10,1,16,8.17E+15,8,1,1
2.759,11,7,16,8.17E+15,8,4,1
7.667,12,2,16,8.17E+15,8,1,2
3.284,13,6,16,8.17E+15,8,3,2
1.758,14,3,16,8.17E+15,8,2,1
2.551,15,5,16,8.17E+15,8,3,1
2.844,16,4,16,8.17E+15,8,2,2
